x0,y0,d,theta0_degree,delta_theta_degree,gain,mse
42.2689,53.6770,0.2681,32.3905,1.0048,1.3515,69.0321
40.9083,61.9251,0.2809,22.7727,0.9880,1.3705,106.7277
39.6987,62.4889,0.2875,21.3072,0.9606,1.3644,165.2047
40.2307,56.5758,0.2797,31.0252,0.9942,1.3961,38.6399
40.1748,49.2539,0.2781,36.4738,0.9475,1.3710,113.0667
43.1093,60.3660,0.2684,22.6089,0.9731,1.3406,109.8397
42.4729,60.1458,0.2713,25.9486,0.9922,1.3594,76.0405
38.8975,55.9184,0.2861,30.4788,0.9609,1.4053,71.1681
42.0198,47.0343,0.2691,40.0229,0.9845,1.3181,162.9631
42.2054,65.0326,0.2784,20.6975,1.0141,1.3431,144.2948
42.1193,65.3126,0.2792,20.9872,0.9818,1.3420,163.7632
38.0760,52.8536,0.2890,33.4388,1.0358,1.3823,102.1814
41.8486,56.7526,0.2717,27.8384,1.0091,1.3702,44.1947
41.6086,63.3375,0.2791,22.1982,1.0171,1.3587,110.8789
38.8571,46.2701,0.2853,39.5276,1.0043,1.3443,182.7526
43.3140,64.9384,0.2728,20.9693,0.9848,1.3271,161.5824
38.8317,55.4571,0.2862,32.2371,1.0460,1.3809,85.0736
42.0510,46.7085,0.2690,39.0674,0.9560,1.3232,166.4172
38.8021,45.7146,0.2858,40.1875,0.9877,1.3451,191.0661
43.0651,60.1093,0.2683,24.9759,0.9463,1.3434,114.6548
39.6565,57.3758,0.2831,30.3325,1.0201,1.3925,52.8351
41.1524,50.9190,0.2731,34.6828,1.0693,1.3214,143.4153
39.0258,56.1598,0.2856,29.9517,1.0193,1.3978,54.8926
44.6948,69.3001,0.2732,15.9407,1.0221,1.2799,257.2094
43.3659,68.0557,0.2774,19.0467,1.0014,1.3113,215.6838
38.0279,50.9184,0.2890,36.4443,0.9986,1.3846,114.4971
43.5688,71.2528,0.2822,12.4554,0.9771,1.2754,322.5763
41.3869,60.3029,0.2769,24.9149,0.9791,1.3731,82.0320
42.4661,64.3084,0.2761,20.2826,1.0165,1.3419,133.5609
39.6141,45.9472,0.2816,41.3190,1.0036,1.3343,185.9540
41.7675,69.8576,0.2881,15.9060,0.9710,1.3057,289.3389
43.8729,69.9210,0.2783,14.4272,1.0549,1.2850,261.1704
38.6673,51.0747,0.2857,34.8670,1.0135,1.3786,102.9137
40.4366,52.0502,0.2769,35.2050,0.9570,1.3858,66.9244
41.9207,70.6884,0.2889,15.3995,1.0321,1.3111,264.9515
39.1182,52.2151,0.2836,32.3965,0.9914,1.3894,77.8091
39.6776,53.9742,0.2813,31.3941,0.9796,1.3961,55.5590
40.5391,45.5861,0.2771,40.5644,0.9798,1.3314,179.0899
38.5178,54.6306,0.2874,31.4365,1.0228,1.3946,70.9042
40.6297,66.7362,0.2885,19.0174,1.0819,1.3354,187.2660
39.1663,55.0916,0.2843,29.2598,0.9820,1.3993,63.9636
42.7443,60.0373,0.2699,23.0848,0.9905,1.3504,89.0156
39.7207,51.7846,0.2805,34.7952,1.0319,1.3644,98.0446
39.3784,60.0165,0.2866,26.0037,1.0219,1.3925,72.1090
41.4596,44.6683,0.2729,40.8043,1.0034,1.3027,209.9467
41.6175,52.4212,0.2710,32.4409,0.9528,1.3682,75.0322
39.0729,46.8943,0.2841,40.1878,1.0182,1.3405,179.0837
40.2314,66.0658,0.2895,21.7088,1.0108,1.3581,171.0255
42.1153,45.6855,0.2691,41.6323,1.0120,1.2937,206.7480
42.0671,53.8815,0.2692,32.5480,1.0035,1.3565,64.3236
42.8252,68.3519,0.2805,15.6566,1.0070,1.3136,225.1476
39.2213,50.8997,0.2829,33.8404,0.9571,1.3866,99.1143
41.2138,61.2146,0.2786,24.2927,0.9460,1.3647,123.7008
41.7487,59.9685,0.2747,24.8412,1.0356,1.3617,69.4867
39.3925,57.7714,0.2847,28.8249,0.9872,1.4017,58.0497
39.5909,52.9513,0.2814,31.3204,0.9904,1.3898,64.8041
43.9324,68.9950,0.2763,16.0070,1.0347,1.2930,239.7293
41.5406,49.4395,0.2711,37.5922,0.9922,1.3424,114.8573
40.6952,46.5908,0.2759,40.9531,1.0035,1.3269,171.8592
42.4277,61.3289,0.2727,24.0626,0.9862,1.3560,94.6604
39.4747,51.1407,0.2816,35.1826,0.9917,1.3813,85.1347
41.3864,52.9662,0.2723,30.9208,0.9633,1.3716,68.6947
39.8834,58.1545,0.2826,28.7637,1.0057,1.3962,48.6084
44.1828,66.9258,0.2716,17.6330,0.9948,1.3020,207.9600
40.7727,55.4798,0.2764,31.4412,0.9891,1.3897,36.6644
41.6097,46.0127,0.2715,39.1660,0.9819,1.3187,176.3752
39.3856,59.3238,0.2860,25.8769,1.0460,1.3878,67.5504
40.0416,61.2628,0.2845,24.2205,1.0695,1.3672,96.5491
40.5584,47.2885,0.2764,40.6989,1.0061,1.3322,161.6162
43.1544,67.2199,0.2771,16.3589,0.9636,1.3049,237.4830
39.5909,47.8994,0.2812,37.4728,1.0155,1.3483,146.5404
41.4845,45.6958,0.2723,39.9251,1.0093,1.3085,191.1308
38.5804,55.2351,0.2874,28.2054,1.0159,1.3975,67.3909
39.6038,54.5172,0.2819,32.2943,1.0015,1.3945,50.7518
41.4486,58.3461,0.2749,26.4463,0.9909,1.3781,53.6322
41.4370,60.3854,0.2767,24.3923,0.9520,1.3652,109.7923
41.8201,58.6961,0.2733,27.0713,0.9796,1.3736,60.5613
43.6352,68.2848,0.2765,16.0022,1.0070,1.3043,225.0318
44.3606,67.6942,0.2720,16.2695,0.9780,1.2914,237.9886
41.6086,50.7008,0.2708,33.0470,0.9915,1.3521,90.6348
39.9006,63.0536,0.2872,24.2763,1.0755,1.3574,130.9311
40.6816,65.1203,0.2859,21.2787,0.9465,1.3468,199.4415
40.9749,59.3276,0.2780,26.3636,0.9806,1.3827,66.1772
40.4170,49.9728,0.2768,37.5140,1.0196,1.3484,120.3261
40.6226,57.4218,0.2783,29.2697,0.9895,1.3927,40.7212
38.3686,52.2891,0.2874,33.1184,0.9689,1.3975,92.7783
39.6539,51.2773,0.2808,35.8950,1.0455,1.3524,122.4667
40.2936,56.2225,0.2792,28.8639,1.0087,1.3918,37.7335
40.4819,49.7340,0.2765,35.6500,0.9401,1.3707,108.8554
41.9243,47.4430,0.2695,39.0859,0.9991,1.3180,158.2986
42.0383,46.7092,0.2691,39.2777,1.0229,1.3007,186.2526
38.3907,56.5193,0.2890,32.4895,1.0365,1.3898,84.1648
38.9377,46.6969,0.2848,39.0350,1.0063,1.3468,173.4400
43.0872,68.7674,0.2799,14.4894,1.0331,1.3086,225.3820
40.3502,53.2059,0.2776,31.6808,0.9673,1.3873,61.3699
38.6886,50.3702,0.2856,36.7019,0.9378,1.3933,109.8179
40.1792,50.1915,0.2780,36.9820,1.0589,1.3314,152.3594
40.4985,65.3795,0.2872,19.9549,0.9925,1.3543,174.8612
44.6257,67.5589,0.2705,18.4615,0.9943,1.2918,225.2276
39.0658,50.3721,0.2837,37.1268,1.0643,1.3410,159.8239
38.8781,53.2598,0.2851,34.5636,1.0188,1.3847,82.9163
40.3962,61.1836,0.2827,24.7970,1.0506,1.3709,86.1365
40.6628,59.0727,0.2794,27.3089,1.0034,1.3874,51.9637
39.2650,53.8569,0.2833,33.0237,1.0287,1.3817,75.0582
42.5550,62.7446,0.2737,20.7405,1.0427,1.3401,112.3651
43.6342,64.2458,0.2703,20.6954,1.0256,1.3183,151.5692
42.8562,67.8914,0.2796,18.6826,0.9829,1.3174,219.4229
44.4282,66.4423,0.2697,20.3895,1.0300,1.2890,213.3042
40.4238,65.0438,0.2871,20.6969,1.0046,1.3601,156.8541
44.5836,70.4922,0.2760,14.1836,0.9809,1.2737,295.8610
39.6631,61.2074,0.2863,24.5274,1.0682,1.3719,96.2232
40.6636,47.6251,0.2758,38.4864,0.9823,1.3463,137.3765
40.3149,45.1955,0.2784,41.0360,1.0303,1.3099,213.9017
44.1671,68.6520,0.2746,15.2965,0.9992,1.2930,242.4755
42.7925,70.3034,0.2841,15.7296,1.0359,1.3036,255.6939
40.8027,53.0900,0.2753,33.4000,1.0002,1.3756,57.4595
42.0753,58.0915,0.2715,29.3122,0.9619,1.3730,60.8438
40.3014,65.0490,0.2877,20.8043,0.9794,1.3565,177.3662
39.4156,55.4812,0.2833,30.0347,1.0065,1.3978,48.2708
42.0703,64.6924,0.2786,21.0694,1.0048,1.3472,139.8427
42.6398,64.2820,0.2752,20.7542,0.9964,1.3403,140.5321
38.4896,49.4228,0.2866,36.5057,0.9698,1.3813,124.4127
38.9770,51.6593,0.2842,34.4919,1.0135,1.3803,90.8977
40.2880,57.9155,0.2804,28.8326,1.0019,1.3936,43.7384
42.5632,64.3408,0.2757,20.6824,0.9921,1.3407,143.8058
41.6879,68.3723,0.2860,16.7714,1.0302,1.3284,212.4443
38.0404,51.6071,0.2890,33.8157,1.0547,1.3676,128.0404
42.9044,70.7031,0.2843,17.1718,0.9868,1.2993,281.2911
40.5330,64.3859,0.2857,22.2029,1.0176,1.3651,132.4302
41.0972,53.7303,0.2740,31.4839,1.0183,1.3685,57.1261
38.5225,49.0836,0.2865,36.9347,0.9576,1.3815,129.8259
39.6827,59.8894,0.2850,25.4553,1.0309,1.3888,67.1529
39.9229,62.6571,0.2866,24.7043,0.9767,1.3787,124.5426
41.1451,56.5016,0.2751,28.1135,1.0000,1.3832,38.3727
40.0555,45.8261,0.2794,40.7126,1.0193,1.3228,194.0067
38.4002,56.2430,0.2888,30.8769,0.9937,1.4065,66.3633
42.2501,62.9673,0.2755,21.7153,0.9435,1.3398,160.5221
39.1240,55.1015,0.2845,30.2522,0.9669,1.4017,67.5490
40.0629,52.0175,0.2788,34.1851,1.0240,1.3674,84.9468
40.8112,45.1248,0.2759,41.7672,0.9966,1.3172,196.4816
42.5656,61.0807,0.2718,24.3970,0.9702,1.3534,102.1262
41.3473,45.8960,0.2729,39.9588,1.0605,1.2879,226.0351
45.1169,67.8366,0.2687,15.7883,1.0651,1.2615,258.5087
39.1314,54.6135,0.2843,31.8915,0.9508,1.4036,70.6128
42.0714,58.7452,0.2721,26.1191,1.0483,1.3504,73.9981
42.4598,58.9014,0.2702,26.5135,1.0013,1.3601,63.5553
38.1477,50.5499,0.2883,36.2117,1.0371,1.3661,135.7187
42.8062,64.6071,0.2749,18.9226,1.0424,1.3298,144.0148
40.2949,55.0198,0.2786,30.6915,0.9928,1.3928,40.2930
43.9283,65.4710,0.2706,19.4963,1.0174,1.3106,174.6770
40.4894,47.9005,0.2766,38.9415,0.9694,1.3544,130.4410
40.0577,61.9393,0.2851,22.6361,0.9600,1.3694,142.5094
43.4694,67.9448,0.2767,17.6273,0.9990,1.3096,216.8093
39.5484,52.7785,0.2816,33.5001,1.0446,1.3658,95.2526
41.0993,58.5534,0.2768,27.6758,1.0004,1.3836,47.0657
37.9418,49.5564,0.2894,38.4823,1.0446,1.3538,167.6894
41.9180,53.9111,0.2699,33.7707,1.0093,1.3538,72.2798
40.2051,54.1462,0.2787,30.9705,1.0354,1.3740,62.9168
42.9233,70.4630,0.2838,16.4184,1.0018,1.3018,268.9833
42.8892,70.4098,0.2838,14.1668,0.9946,1.2967,282.1505
38.1636,51.6188,0.2884,34.3631,0.9348,1.3992,112.5928
41.9460,51.0769,0.2691,35.1075,1.1093,1.2852,198.6461
38.3592,57.8148,0.2900,28.4699,1.0323,1.3989,70.5050
44.4403,66.6963,0.2700,19.4849,0.9995,1.2983,206.0739
40.2815,48.1872,0.2776,37.2426,1.0334,1.3344,151.5058
38.3235,56.8660,0.2895,31.2785,1.0141,1.4026,68.6437
40.9661,62.5815,0.2814,21.7653,0.9792,1.3635,128.2603
40.7437,49.9209,0.2752,36.2737,0.9878,1.3611,96.9568
40.2195,50.9038,0.2778,35.9242,0.9715,1.3787,80.7884
38.6822,45.0802,0.2867,42.5377,1.0301,1.3215,231.8531
44.6404,66.1469,0.2682,19.0715,1.0016,1.2962,200.0952
39.1769,57.2940,0.2855,28.8425,0.9701,1.4021,69.8744
42.1706,56.8687,0.2702,28.9822,0.9559,1.3693,64.2027
38.5469,54.5691,0.2872,32.5241,1.0252,1.3916,75.5876
38.7960,57.0901,0.2873,29.4573,1.0286,1.3970,61.6505
43.4623,66.3647,0.2742,17.1021,1.0180,1.3160,182.5946
39.5107,55.2330,0.2827,29.3907,1.0579,1.3751,72.9001
38.1736,48.2046,0.2883,37.2202,0.9508,1.3776,152.3367
39.5787,47.6075,0.2813,36.8477,0.9559,1.3618,147.1327
42.0297,60.7003,0.2741,24.5844,1.0727,1.3349,111.3571
40.5298,56.2886,0.2781,29.7776,0.9986,1.3921,35.8391
38.1050,44.9099,0.2897,39.3234,0.9611,1.3476,218.8976
42.1728,61.8575,0.2746,24.3463,0.9631,1.3566,113.3958
40.0227,61.6261,0.2850,23.5796,1.0035,1.3815,97.3773
42.7510,57.9455,0.2680,27.8107,0.9669,1.3586,70.7744
40.6071,55.8565,0.2774,30.2380,0.9877,1.3924,37.1320
45.4008,68.9688,0.2693,15.8142,1.0157,1.2683,264.6895
41.9104,51.5591,0.2694,33.8920,0.9559,1.3600,83.1686
40.9361,52.0031,0.2744,32.3985,0.9718,1.3740,71.0097
41.7144,53.7171,0.2709,33.6619,1.0000,1.3622,63.0148
42.6117,69.0935,0.2828,16.2498,1.0114,1.3139,234.8589
45.0579,67.4739,0.2683,18.5441,0.9804,1.2838,235.4517
37.9090,52.6657,0.2898,33.4562,1.0012,1.3947,94.9472
41.3438,52.9163,0.2725,31.6321,0.9191,1.3690,97.3759
40.8306,56.2945,0.2766,29.7754,1.0114,1.3841,38.8165
42.3270,56.6642,0.2693,30.6464,0.9952,1.3630,53.8803
42.3972,44.7511,0.2681,39.9189,1.0004,1.2883,217.9397
41.2331,48.5521,0.2728,38.8581,1.0250,1.3237,153.0171
38.0301,53.1466,0.2894,33.3543,0.9509,1.4050,96.2036
41.8716,49.0401,0.2695,38.4798,1.0262,1.3155,152.7438
39.5648,49.9720,0.2811,35.9467,1.0245,1.3591,117.2079
39.5287,47.6125,0.2816,38.6455,0.9728,1.3606,141.7368
41.1635,64.5055,0.2828,21.5377,0.9793,1.3554,153.9512
41.9404,59.3784,0.2733,25.9695,0.9788,1.3691,70.8330
39.5219,54.8061,0.2824,30.9495,1.0385,1.3812,66.1056
40.8660,59.3456,0.2786,25.9080,0.9948,1.3837,60.3014
40.4185,51.8815,0.2770,34.2455,1.0226,1.3631,85.0169
40.8839,58.4108,0.2777,27.7591,0.9274,1.3782,98.2176
40.2659,58.8758,0.2812,26.0060,1.0207,1.3881,52.0845
43.1221,64.5326,0.2732,20.8682,1.0389,1.3224,152.2065
44.6185,69.2700,0.2736,11.6991,0.9920,1.2740,280.2042
41.3249,63.6120,0.2808,21.7019,1.0439,1.3546,117.6737
42.1650,70.0606,0.2866,13.1225,0.9842,1.2967,297.5367
40.1004,54.8349,0.2795,30.1074,0.9730,1.3941,53.1332
41.0780,68.4607,0.2890,17.5295,1.0557,1.3307,212.4713
41.3245,66.2812,0.2845,19.7047,0.9995,1.3452,178.1883
41.1007,55.4038,0.2747,30.2715,0.9698,1.3857,46.2594
40.5041,58.0609,0.2794,26.7221,1.0281,1.3846,45.8395
42.2421,60.3340,0.2726,25.1829,1.0228,1.3560,76.6932
40.4045,64.9996,0.2871,20.6237,1.0181,1.3613,148.8757
38.0858,52.7799,0.2890,33.3097,1.0257,1.3866,96.5470
43.3803,71.7717,0.2841,16.6783,1.0281,1.2861,296.0362
41.3252,51.9169,0.2724,31.1600,0.9516,1.3658,88.8141
40.9497,48.3995,0.2742,36.7603,0.9938,1.3451,125.5273
43.6223,65.2456,0.2718,19.2465,0.9848,1.3182,175.5330
41.8751,62.7602,0.2771,22.2782,0.9840,1.3565,118.7209
40.4963,57.3668,0.2789,27.9701,1.0353,1.3806,48.8807
42.1348,48.8317,0.2682,35.9906,0.9862,1.3307,128.1238
39.4931,54.7234,0.2825,31.1178,1.0307,1.3849,61.6409
42.4897,67.1295,0.2801,18.0872,0.9935,1.3258,200.2578
38.8743,44.7009,0.2859,41.1489,1.0398,1.3159,236.7795
39.5720,57.7245,0.2838,27.5749,0.9749,1.3972,68.9630
42.1843,68.6751,0.2841,16.7257,1.0769,1.3074,230.6259
44.6270,68.0526,0.2714,16.2998,0.9947,1.2887,236.3248
41.4893,69.3982,0.2887,15.5275,1.0057,1.3188,255.3217
38.9887,50.9141,0.2841,32.4453,1.0275,1.3722,101.6837
40.4194,48.9662,0.2768,36.5724,0.9502,1.3657,116.8698
45.3986,70.4902,0.2722,12.4435,1.0017,1.2624,296.6713
43.4600,65.5575,0.2730,17.9839,1.0002,1.3193,174.6686
38.7819,60.4389,0.2900,25.6527,0.9841,1.3931,107.5205
38.1989,47.6792,0.2883,39.2043,1.0176,1.3533,172.6010
41.6079,57.6409,0.2735,27.9217,0.9882,1.3782,47.0647
42.2228,54.3494,0.2686,31.4716,1.0241,1.3469,72.9426
42.8679,69.6038,0.2825,15.7405,1.0056,1.3070,250.2142
43.0043,65.8343,0.2756,20.0304,1.0357,1.3208,171.0890
39.9062,55.5736,0.2808,30.8384,0.9999,1.3962,41.5117
39.4412,44.8304,0.2830,41.7919,1.0327,1.3140,228.4042
44.0180,68.4462,0.2750,15.6626,1.0247,1.2967,228.1597
38.1991,55.5637,0.2894,28.5103,0.9922,1.4016,81.7660
40.7089,53.4227,0.2759,32.1036,1.0151,1.3735,57.9384
39.1166,50.9125,0.2834,34.3438,0.9340,1.3893,108.2145
41.5118,62.4096,0.2785,22.0516,1.0184,1.3631,96.5011
39.2940,53.6419,0.2831,32.6530,0.9746,1.3993,61.3335
42.1171,51.1805,0.2683,34.8119,1.0199,1.3327,107.2921
39.4961,60.9800,0.2869,25.0561,1.0307,1.3871,82.1635
42.8380,61.5782,0.2710,23.7091,0.9817,1.3479,105.0942
45.0806,67.9244,0.2690,15.6029,1.0097,1.2802,238.2348
44.0619,70.0607,0.2776,12.5146,1.0547,1.2837,262.4777
43.2321,71.6743,0.2846,13.8641,0.9977,1.2867,306.5628
38.4680,57.1743,0.2890,31.2208,0.9960,1.4067,65.7039
39.5419,52.1654,0.2815,32.5453,1.0085,1.3821,73.3258
38.4921,55.7319,0.2880,30.2128,0.9999,1.4038,65.0370
40.9927,53.3604,0.2744,32.7371,1.0220,1.3643,67.6099
38.3913,54.2337,0.2879,31.8125,1.0133,1.3968,73.2533
43.1915,64.6840,0.2731,19.1102,0.9870,1.3264,163.4278
40.2944,48.7793,0.2775,37.3138,0.9525,1.3662,117.9335
40.9527,52.9576,0.2745,32.6533,0.9949,1.3754,55.9221
43.0853,70.6155,0.2833,17.6036,1.0274,1.2972,267.8281
41.0368,57.4479,0.2763,27.6419,1.0420,1.3702,54.4905
42.5774,59.6888,0.2704,26.2660,0.9838,1.3591,75.1900
39.8683,48.7539,0.2797,36.6458,1.0739,1.3222,178.4914
41.4519,49.2077,0.2716,35.5279,1.0016,1.3408,116.4321
42.6049,58.9102,0.2695,24.8661,0.9865,1.3565,74.6582
39.3364,57.7453,0.2850,28.0582,1.0181,1.3976,52.7852
40.7127,57.2294,0.2777,27.2838,0.9697,1.3860,62.3932
40.8005,54.0404,0.2756,29.8269,1.0293,1.3713,54.4634
43.8638,67.0218,0.2733,16.8081,0.9671,1.2993,229.8460
40.5873,67.0146,0.2891,19.0228,1.0296,1.3475,185.6093
40.8476,44.8552,0.2759,42.5853,0.9456,1.3297,193.4881
38.8980,56.1163,0.2862,29.3865,1.0078,1.4013,56.3032
43.5567,65.1565,0.2720,17.7713,1.0582,1.3086,170.6736
40.0973,62.6066,0.2857,21.2379,1.0135,1.3733,115.6864
41.9720,59.6530,0.2733,26.5328,0.9789,1.3696,70.4353
38.2150,47.6411,0.2882,37.5179,0.9917,1.3630,162.2673
44.1739,68.2716,0.2739,16.9149,0.9952,1.2962,232.8788
40.5828,61.7543,0.2823,25.5853,0.9741,1.3792,101.5624
40.9794,60.7201,0.2793,24.2898,1.0031,1.3774,74.9927
40.1357,61.6308,0.2844,23.3430,1.0177,1.3805,89.9788
39.2187,55.6507,0.2843,30.1317,0.9817,1.4027,56.4466
38.7811,46.4326,0.2857,39.2726,1.0361,1.3331,197.4477
39.8489,56.0442,0.2814,29.4306,1.0013,1.3970,42.0599
39.6760,45.5491,0.2815,42.1879,1.0416,1.3108,225.7618
40.3402,47.4501,0.2775,38.4929,0.9971,1.3438,144.9043
38.2890,47.3447,0.2879,39.1830,1.0546,1.3336,202.9651
41.1385,52.3568,0.2734,32.8540,0.9919,1.3703,63.2691
41.6852,44.6879,0.2717,43.1551,1.0245,1.2861,234.5787
42.1487,46.9456,0.2685,40.4378,0.9875,1.3134,168.7396
42.6830,66.2705,0.2779,19.4129,1.0400,1.3238,174.8091
38.6488,52.6905,0.2861,32.9551,0.9916,1.3948,79.3509
42.2005,54.7432,0.2688,31.3271,1.0105,1.3553,61.5267
44.2018,65.5868,0.2695,17.9185,1.0467,1.2970,188.0609
40.7990,64.1483,0.2841,20.8300,1.0046,1.3616,137.2424
41.4909,58.3451,0.2746,27.5584,0.9649,1.3781,65.1375
40.7286,59.6333,0.2795,25.3059,0.9424,1.3736,110.6661
40.3197,56.7823,0.2794,28.6482,0.9767,1.3941,50.4240
40.9834,57.5059,0.2766,27.1042,0.9840,1.3846,51.8070
38.8887,56.4639,0.2864,29.8455,1.0114,1.4012,55.9160
37.8718,52.1150,0.2899,33.0899,0.9887,1.3946,102.4171
39.7073,51.0852,0.2805,34.5431,1.0146,1.3709,90.7520
42.8811,69.6778,0.2825,14.7682,1.0621,1.3002,246.2242
42.8200,67.1061,0.2785,18.1717,1.0451,1.3169,192.2247
42.7383,65.3961,0.2763,19.7252,1.0338,1.3291,156.8115
40.4234,56.3722,0.2787,29.2137,1.0696,1.3586,83.9034
42.0357,56.6429,0.2707,29.5625,1.0048,1.3668,48.5700
41.1323,65.5026,0.2843,20.7129,0.9878,1.3509,168.8367
40.8151,54.9608,0.2759,30.7281,1.0032,1.3839,39.9123
40.4824,52.4867,0.2768,34.0692,1.0199,1.3665,77.2461
42.1733,47.8708,0.2681,39.3539,1.0225,1.3043,172.6030
41.1048,48.1713,0.2735,38.7785,1.0269,1.3230,157.6657
41.7450,70.8208,0.2900,16.1665,0.9675,1.2997,311.5893
42.4225,68.8630,0.2833,16.7942,1.0161,1.3181,226.4328
43.0394,64.4829,0.2736,20.5200,1.0612,1.3148,161.8432
41.9793,60.6435,0.2743,24.7169,1.0060,1.3645,74.5301
40.8943,57.5462,0.2770,25.8589,1.0353,1.3780,44.1789
40.8672,63.4979,0.2829,21.8542,1.0025,1.3656,122.7772
