scan_index,base_angle_degree,correction_degree,angle_degree,single_scan_mse
60,88.7356,-0.2000,88.5356,52.4836
61,89.7328,-0.0800,89.6528,53.1704
62,90.7299,0.1550,90.8849,52.9640
63,91.7271,0.2000,91.9271,52.1884
64,92.7243,0.2000,92.9243,50.7665
65,93.7214,0.2000,93.9214,48.8662
66,94.7186,0.2000,94.9186,46.5099
67,95.7158,0.2000,95.9158,43.6809
68,96.7129,0.2000,96.9129,40.6481
69,97.7101,0.2000,97.9101,37.1916
70,98.7073,0.2000,98.9073,33.5486
71,99.7044,0.2000,99.9044,29.9076
72,100.7016,0.2000,100.9016,26.1436
73,101.6988,0.2000,101.8988,22.4032
74,102.6959,0.2000,102.8959,18.7706
75,103.6931,0.2000,103.8931,15.4545
76,104.6903,0.2000,104.8903,12.2497
77,105.6874,0.2000,105.8874,9.3562
78,106.6846,0.2000,106.8846,6.8099
79,107.6818,0.2000,107.8818,4.6513
80,108.6789,0.2000,108.8789,2.9271
81,109.6761,0.2000,109.8761,1.6330
82,110.6733,0.2000,110.8733,0.7914
83,111.6704,0.1600,111.8304,0.3757
84,112.6676,-0.0350,112.6326,0.3599
85,113.6648,-0.2000,113.4648,0.6863
86,114.6619,-0.2000,114.4619,1.4079
87,115.6591,-0.2000,115.4591,2.5718
88,116.6563,-0.2000,116.4563,4.0632
89,117.6534,-0.2000,117.4534,5.9416
90,118.6506,-0.2000,118.4506,8.1325
91,119.6478,-0.2000,119.4478,10.5634
92,120.6449,-0.2000,120.4449,13.2811
93,121.6421,-0.2000,121.4421,16.2599
94,122.6393,-0.2000,122.4393,19.2529
95,123.6364,-0.2000,123.4364,22.4245
96,124.6336,-0.2000,124.4336,25.6858
97,125.6308,-0.2000,125.4308,28.8299
98,126.6279,-0.2000,126.4279,32.0942
99,127.6251,-0.2000,127.4251,35.1211
100,128.6223,-0.2000,128.4223,38.2005
101,129.6194,-0.2000,129.4194,40.9795
102,130.6166,-0.2000,130.4166,43.6734
103,131.6138,-0.2000,131.4138,45.9033
104,132.6109,-0.2000,132.4109,48.0758
105,133.6081,-0.2000,133.4081,49.7343
106,134.6053,-0.2000,134.4053,51.0013
107,135.6024,-0.2000,135.4024,51.9166
108,136.5996,-0.2000,136.3996,52.1431
109,137.5968,-0.2000,137.3968,52.0454
110,138.5939,-0.2000,138.3939,51.3625
111,139.5911,-0.2000,139.3911,50.4047
112,140.5883,-0.2000,140.3883,48.9318
113,141.5854,-0.2000,141.3854,46.9869
114,142.5826,-0.2000,142.3826,44.8023
115,143.5798,-0.2000,143.3798,42.1153
116,144.5769,-0.0600,144.5169,39.1793
117,145.5741,-0.0250,145.5491,35.9256
118,146.5713,0.0150,146.5863,32.3889
119,147.5684,0.2000,147.7684,28.7346
120,148.5656,0.0800,148.6456,24.9366
121,149.5628,0.1600,149.7228,21.1085
122,150.5599,0.2000,150.7599,17.3518
123,151.5571,0.1450,151.7021,13.7790
124,152.5543,0.2000,152.7543,10.3942
125,153.5514,0.2000,153.7514,7.3741
126,154.5486,0.1750,154.7236,4.7888
127,155.5458,0.2000,155.7458,2.6970
128,156.5429,0.0800,156.6229,1.2641
129,157.5401,0.1450,157.6851,0.4814
130,158.5373,0.2000,158.7373,0.5438
131,159.5344,0.0300,159.5644,1.3535
132,160.5316,-0.0400,160.4916,3.1314
133,161.5288,-0.0250,161.5038,5.8976
134,162.5259,-0.1600,162.3659,9.6197
135,163.5231,-0.0750,163.4481,14.4882
136,164.5203,-0.2000,164.3203,20.2367
137,165.5174,-0.2000,165.3174,26.8627
138,166.5146,-0.2000,166.3146,34.3166
139,167.5118,-0.2000,167.3118,42.5570
140,168.5089,-0.2000,168.3089,51.6379
141,169.5061,-0.2000,169.3061,61.3287
142,170.5033,-0.2000,170.3033,70.9333
143,171.5004,-0.2000,171.3004,80.8120
144,172.4976,-0.2000,172.2976,90.5594
145,173.4948,-0.2000,173.2948,99.9605
146,174.4919,-0.2000,174.2919,108.4504
147,175.4891,-0.2000,175.2891,116.0911
148,176.4863,-0.2000,176.2863,122.6271
149,177.4834,-0.2000,177.2834,127.5572
150,178.4806,-0.2000,178.2806,130.9945
151,179.4778,-0.2000,179.2778,132.7343
152,180.4749,0.2000,180.6749,132.5599
153,181.4721,0.2000,181.6721,130.5439
154,182.4693,0.2000,182.6693,126.7913
155,183.4664,0.2000,183.6664,121.4894
156,184.4636,0.2000,184.6636,114.8055
157,185.4608,0.2000,185.6608,106.9608
158,186.4579,0.2000,186.6579,98.1941
159,187.4551,0.2000,187.6551,88.7754
160,188.4523,0.2000,188.6523,78.9707
161,189.4494,0.2000,189.6494,69.0315
162,190.4466,0.2000,190.6466,59.2158
163,191.4438,0.2000,191.6438,49.7369
164,192.4409,0.2000,192.6409,40.7937
165,193.4381,0.2000,193.6381,32.5410
166,194.4353,0.2000,194.6353,25.1182
167,195.4324,0.2000,195.6324,18.6030
168,196.4296,0.2000,196.6296,13.0697
169,197.4268,0.2000,197.6268,8.5556
170,198.4239,0.2000,198.6239,5.0664
171,199.4211,0.2000,199.6211,2.5956
172,200.4183,0.2000,200.6183,1.0513
173,201.4154,0.2000,201.6154,0.4468
174,202.4126,0.2000,202.6126,0.6261
175,203.4098,0.2000,203.6098,1.6013
176,204.4070,0.1950,204.6020,3.2630
177,205.4041,0.1750,205.5791,5.5019
178,206.4013,0.1550,206.5563,8.2327
179,207.3985,0.1400,207.5385,11.3650
180,208.3956,0.1200,208.5156,14.7733
