round,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse
1,40.7505,56.6027,0.2771,29.5681,1.0067,1.3874,36.9699
1,41.1897,55.5775,0.2744,29.4699,0.9998,1.3816,37.7811
1,40.5477,55.9350,0.2778,29.9993,1.0284,1.3790,49.2257
1,40.0533,57.0162,0.2809,29.9139,0.9827,1.3992,44.2780
1,40.8973,55.9010,0.2760,30.2041,0.9957,1.3877,35.5568
1,39.9584,56.0996,0.2808,30.0496,1.0111,1.3936,41.7020
1,40.2353,55.8738,0.2793,30.0413,1.0187,1.3874,43.3845
1,41.0809,56.5355,0.2754,29.7152,1.0044,1.3834,37.5496
1,40.7057,55.5511,0.2768,30.2490,1.0249,1.3778,48.0996
1,40.0484,56.1694,0.2804,29.3040,1.0138,1.3925,40.4795
1,40.6497,56.8519,0.2778,29.8378,0.9698,1.3934,46.3902
1,40.4124,55.5509,0.2783,29.3648,0.9950,1.3918,39.5296
1,39.9392,56.9132,0.2814,29.9900,1.0123,1.3940,43.7081
1,40.6290,56.5689,0.2777,29.7892,0.9731,1.3933,44.5159
1,39.7137,55.9365,0.2820,29.9491,1.0095,1.3960,43.6280
1,40.3184,57.1189,0.2796,29.5198,0.9838,1.3964,42.8019
1,40.2768,55.7977,0.2791,29.4196,1.0061,1.3919,38.0677
1,40.9677,55.9954,0.2757,29.8344,1.0003,1.3857,35.8096
1,41.3106,56.8478,0.2745,30.1885,0.9822,1.3851,39.7677
1,40.8105,55.4893,0.2762,29.3562,1.0154,1.3821,39.5912
1,40.6710,55.5762,0.2770,29.3151,0.9878,1.3895,41.0774
1,40.9650,55.7059,0.2756,29.7626,0.9969,1.3859,36.3167
1,40.2710,55.7892,0.2791,29.8172,0.9822,1.3953,42.9940
1,41.2074,55.5767,0.2743,29.8647,1.0077,1.3789,39.5732
1,40.6784,56.5566,0.2775,29.3297,1.0189,1.3837,41.2626
1,40.2524,56.0996,0.2794,30.2626,0.9708,1.3971,46.4752
1,40.5009,55.6450,0.2779,29.9239,0.9715,1.3927,47.5331
1,40.6121,55.7747,0.2774,29.8918,0.9816,1.3920,40.9091
1,40.6645,56.5346,0.2775,30.0198,1.0145,1.3847,41.6717
1,41.0531,56.9170,0.2758,29.6124,1.0229,1.3757,48.3183
1,40.6557,56.2216,0.2774,30.2465,0.9777,1.3933,40.2071
1,40.1412,56.3854,0.2801,29.4465,1.0136,1.3919,40.1546
1,41.2436,55.7505,0.2742,29.2970,0.9737,1.3829,47.5301
1,40.9651,56.3518,0.2759,29.9494,0.9693,1.3892,45.3571
1,40.5860,56.8831,0.2782,29.7166,0.9849,1.3938,39.5042
1,41.1567,56.1760,0.2748,30.2057,1.0129,1.3778,42.7944
1,39.7454,55.9089,0.2818,29.3558,0.9821,1.3988,50.6185
1,41.1385,56.6353,0.2752,29.9982,0.9820,1.3873,39.0573
1,40.9070,55.8928,0.2759,29.9965,1.0105,1.3827,39.0170
1,40.4206,56.2582,0.2786,29.8212,1.0255,1.3828,46.7114
1,40.9579,56.5551,0.2761,29.3342,0.9701,1.3883,47.8627
1,40.1271,56.3642,0.2801,29.5816,1.0025,1.3952,38.6327
1,40.8004,56.0108,0.2765,29.5583,1.0160,1.3826,39.8089
1,40.0183,56.6838,0.2809,29.4163,1.0001,1.3968,40.3695
1,40.7826,55.9834,0.2766,29.6970,1.0239,1.3789,45.0088
1,41.0273,56.1427,0.2755,29.7746,1.0009,1.3850,36.0248
1,40.9038,56.7443,0.2765,30.2273,1.0076,1.3840,40.4369
1,40.0860,55.6457,0.2800,30.2170,1.0221,1.3868,46.6929
1,40.3018,56.4816,0.2793,29.6656,1.0045,1.3932,37.5224
1,40.0787,56.4952,0.2805,29.2976,1.0164,1.3917,41.3550
1,41.1493,55.7846,0.2747,29.2948,0.9851,1.3843,41.0453
1,39.8504,56.3790,0.2815,29.9047,1.0229,1.3902,47.6187
1,40.3982,56.2024,0.2787,29.8785,0.9767,1.3953,43.6247
1,40.3236,56.2596,0.2791,29.9377,0.9965,1.3946,37.0605
1,40.2994,56.6354,0.2794,29.8531,1.0035,1.3935,37.9009
1,41.0077,55.6478,0.2753,29.7756,1.0007,1.3843,36.6561
1,40.5730,56.6523,0.2781,30.2770,0.9707,1.3949,44.0377
1,40.9718,56.0772,0.2757,29.6176,1.0014,1.3856,35.7397
1,40.0031,57.1672,0.2813,29.6071,1.0276,1.3870,51.1709
1,41.2592,56.8547,0.2747,29.6160,0.9920,1.3842,38.1796
1,39.9995,55.9049,0.2805,29.7436,0.9822,1.3978,45.5418
1,40.4373,55.6993,0.2782,29.7068,1.0053,1.3903,37.2332
1,40.1607,56.5832,0.2801,29.4119,0.9966,1.3961,39.3525
1,40.3699,56.9657,0.2793,29.3007,0.9722,1.3953,49.3142
1,40.5693,55.6600,0.2775,30.1267,1.0003,1.3901,36.4183
1,40.4641,57.0263,0.2789,29.8240,0.9737,1.3956,45.3353
1,40.8529,55.9874,0.2763,29.2871,0.9903,1.3884,38.2134
1,40.2139,56.8057,0.2800,30.1094,0.9899,1.3972,39.5681
1,41.0596,56.8909,0.2758,29.9551,0.9788,1.3887,40.6775
1,40.3809,55.7071,0.2785,30.2144,0.9695,1.3947,47.6987
1,40.3606,56.1073,0.2788,29.4004,1.0068,1.3915,37.1148
1,40.6086,56.2457,0.2777,30.0519,1.0111,1.3867,39.2486
1,41.1350,55.5930,0.2746,29.6817,0.9836,1.3847,40.8918
1,40.0614,56.6879,0.2807,30.0379,0.9975,1.3971,39.7135
1,41.0982,57.0079,0.2757,29.7409,0.9708,1.3881,45.6992
1,40.1736,55.9893,0.2797,29.5715,0.9741,1.3960,49.0895
1,39.9217,57.0732,0.2816,29.9200,0.9828,1.4002,45.9158
1,40.4791,55.8248,0.2781,29.9499,0.9802,1.3937,41.8861
1,39.9835,55.8737,0.2806,29.9861,1.0285,1.3856,50.1023
1,40.2491,55.4958,0.2791,29.6866,1.0087,1.3907,39.3407
1,40.4320,55.5001,0.2781,29.7124,1.0000,1.3910,37.8471
1,41.1143,55.7140,0.2748,29.5996,1.0047,1.3818,37.4421
1,40.5168,56.7975,0.2784,29.3806,0.9818,1.3941,42.2298
1,39.7287,55.6940,0.2818,29.2964,0.9904,1.3980,47.9699
1,39.8055,56.6232,0.2819,29.4004,1.0122,1.3956,42.8358
1,39.9864,56.6551,0.2810,29.5490,1.0027,1.3966,40.3443
1,39.9515,57.0885,0.2815,29.8271,1.0025,1.3970,42.0138
1,40.4197,57.0507,0.2791,29.4606,0.9911,1.3948,39.5155
1,40.6122,55.7196,0.2773,29.3066,0.9865,1.3906,41.3629
1,41.0347,56.1912,0.2755,29.9731,1.0167,1.3784,43.1684
1,40.2737,56.7756,0.2797,29.3030,0.9698,1.3958,51.5376
1,40.1855,56.9042,0.2802,29.5364,1.0215,1.3881,45.2826
1,39.7751,56.2204,0.2818,30.1780,1.0159,1.3934,45.3811
1,40.5171,56.0561,0.2780,29.6103,1.0256,1.3818,45.3617
1,39.9749,56.0994,0.2808,29.9464,1.0273,1.3866,49.3602
1,41.2677,56.8323,0.2747,29.5603,1.0214,1.3733,48.1810
1,40.3020,56.5893,0.2794,30.2074,1.0259,1.3832,50.1724
1,40.2937,55.8596,0.2790,29.7851,0.9939,1.3944,38.4190
1,39.8238,56.4826,0.2817,29.9632,0.9754,1.4007,49.4460
1,41.1701,56.0058,0.2747,29.4796,1.0180,1.3765,42.3562
1,41.1883,56.0532,0.2746,30.0984,0.9755,1.3861,41.8444
1,40.0471,57.0860,0.2810,29.8799,1.0272,1.3861,51.8375
1,40.6656,56.6786,0.2776,29.5044,0.9856,1.3924,39.2506
1,41.1482,55.4474,0.2745,29.5157,1.0014,1.3815,38.0734
1,40.9847,55.6687,0.2754,29.9941,0.9793,1.3876,41.1890
1,40.2171,56.4113,0.2797,29.6359,1.0081,1.3929,38.5176
1,40.5912,56.9677,0.2782,29.6155,0.9956,1.3924,37.3588
1,40.4295,55.6599,0.2782,30.1607,0.9732,1.3941,45.5723
1,41.1835,56.4212,0.2749,29.8064,0.9821,1.3862,39.5346
1,40.6858,55.6309,0.2769,29.5788,0.9807,1.3902,43.0876
1,41.0592,56.3818,0.2755,29.5201,0.9813,1.3874,40.5996
1,41.1809,55.5590,0.2744,29.6958,0.9907,1.3834,38.6463
1,40.6545,56.2523,0.2774,29.4342,1.0217,1.3824,42.5434
1,40.8627,57.0098,0.2768,29.6457,1.0274,1.3760,51.2725
1,39.8910,55.5940,0.2809,29.9880,0.9803,1.3983,47.6595
1,40.4328,56.7097,0.2788,29.3103,0.9713,1.3943,49.2865
1,40.6103,56.8974,0.2780,29.2779,1.0165,1.3858,40.9891
1,41.1655,56.9717,0.2753,29.9482,1.0050,1.3816,40.6871
1,40.7998,56.1322,0.2766,29.7487,0.9949,1.3894,35.5643
1,41.0473,56.9340,0.2759,29.5276,1.0004,1.3854,37.4831
1,40.7562,57.0007,0.2774,30.2739,1.0183,1.3808,47.7934
1,41.2381,56.0626,0.2744,29.8096,1.0215,1.3731,46.6672
1,39.6887,55.8432,0.2821,29.8817,1.0168,1.3936,45.7566
1,41.1076,56.1063,0.2751,29.8772,1.0275,1.3719,50.5574
1,40.8647,56.0043,0.2762,30.1184,1.0086,1.3840,38.4921
1,41.2123,55.4279,0.2742,29.8290,1.0018,1.3803,38.6070
1,40.6505,56.3543,0.2775,29.7252,1.0201,1.3827,43.0854
1,40.5030,56.4604,0.2783,29.9838,1.0019,1.3916,36.4965
1,40.9623,56.1966,0.2758,29.9753,1.0036,1.3850,36.7044
1,41.2662,56.6639,0.2746,29.6572,1.0255,1.3710,50.9014
1,40.7956,55.8064,0.2765,30.2211,0.9759,1.3907,41.7262
1,39.9991,56.6883,0.2810,29.8081,0.9909,1.3986,41.6981
1,40.7480,55.6073,0.2766,30.2680,0.9865,1.3903,37.8108
1,40.3186,56.1096,0.2790,29.4568,1.0107,1.3907,38.1462
1,41.1878,56.5243,0.2749,29.3056,0.9687,1.3852,48.8710
1,40.0840,55.8745,0.2801,29.4296,0.9880,1.3962,43.4506
1,39.8644,55.7782,0.2811,30.2594,0.9856,1.3992,44.1335
1,41.0118,56.8149,0.2760,29.9934,0.9697,1.3894,45.0006
1,40.3187,56.8218,0.2795,29.6677,0.9761,1.3966,45.3655
1,40.9286,55.6230,0.2757,29.4544,1.0183,1.3794,41.2431
1,41.1090,55.8705,0.2749,29.8128,0.9762,1.3862,42.9943
1,40.6365,56.5498,0.2777,29.7030,1.0143,1.3857,40.2573
1,40.4598,56.7252,0.2787,30.1353,1.0161,1.3863,43.6558
1,39.7767,56.4952,0.2820,29.9293,1.0052,1.3975,42.4473
1,40.1972,56.5487,0.2799,29.7809,0.9973,1.3958,38.3637
1,39.6902,55.5816,0.2819,30.1694,0.9930,1.3989,45.1970
1,41.1503,55.8536,0.2747,29.9761,0.9693,1.3858,46.3054
1,39.9641,55.9390,0.2807,30.0944,1.0275,1.3862,50.0814
1,39.7794,55.8347,0.2816,29.4209,0.9773,1.3984,52.7669
1,39.8017,56.1611,0.2817,29.8536,1.0279,1.3883,50.3144
1,41.0482,56.0442,0.2753,29.8443,0.9801,1.3874,40.3390
1,40.0907,57.1186,0.2808,30.0799,0.9755,1.3995,46.7493
1,41.0079,56.9332,0.2761,29.2896,1.0285,1.3742,50.3762
1,41.3557,56.8454,0.2743,30.1378,1.0231,1.3694,53.8887
1,40.9129,56.5794,0.2763,29.7828,0.9727,1.3900,44.0727
1,40.7220,56.4334,0.2772,29.6458,1.0164,1.3837,40.8657
1,40.6280,55.6026,0.2772,29.6734,0.9775,1.3909,44.7625
1,40.2663,56.7499,0.2797,29.3500,0.9828,1.3963,43.6198
1,40.0032,56.2489,0.2807,29.9731,1.0070,1.3948,40.2067
1,40.6983,56.0072,0.2771,30.1323,1.0281,1.3769,50.2012
1,41.2863,56.1984,0.2742,29.7151,1.0189,1.3739,45.1832
1,40.4540,56.6143,0.2786,30.2619,1.0058,1.3906,38.7778
1,40.4594,56.3630,0.2785,29.6037,0.9755,1.3944,45.0707
1,39.9840,55.9368,0.2806,29.8729,0.9965,1.3969,40.5668
1,39.9012,57.0034,0.2817,29.3424,0.9905,1.3991,44.7952
1,40.7414,56.6970,0.2773,29.9197,1.0147,1.3837,42.1008
1,39.8435,57.1479,0.2821,29.9938,0.9963,1.3992,43.5982
1,40.1878,56.8505,0.2801,29.9435,1.0117,1.3917,41.7196
1,40.8775,56.7414,0.2766,29.6260,0.9800,1.3904,40.9067
1,40.4232,56.7704,0.2789,30.2663,0.9888,1.3955,38.0456
1,40.0673,56.9644,0.2808,29.8563,0.9998,1.3967,40.4323
1,41.0318,56.7022,0.2758,30.0154,0.9980,1.3860,36.9110
1,41.2419,56.4832,0.2746,29.6607,0.9752,1.3854,43.4294
1,40.9060,55.5212,0.2758,29.2900,1.0069,1.3837,37.4017
1,41.3504,56.7209,0.2742,29.5852,0.9785,1.3840,42.4808
1,41.3768,56.9148,0.2742,29.7152,0.9794,1.3840,42.1409
1,39.9274,56.4438,0.2812,30.0247,0.9714,1.4000,50.0973
1,40.1172,56.9657,0.2806,30.0600,1.0028,1.3954,40.3635
1,39.9030,55.7484,0.2809,30.0451,1.0116,1.3934,42.4835
1,40.0266,56.5744,0.2808,29.8161,0.9832,1.3989,43.8766
1,40.9803,56.5699,0.2760,29.9277,0.9820,1.3893,38.9332
1,40.0990,56.4687,0.2803,29.7209,1.0093,1.3936,39.8458
1,40.6433,56.2722,0.2775,30.1111,1.0155,1.3842,41.9009
1,41.0988,56.7348,0.2755,29.6993,0.9735,1.3877,44.0167
1,41.0189,56.9534,0.2760,29.7819,1.0252,1.3746,51.0082
1,40.1205,56.8377,0.2805,29.5607,1.0124,1.3926,41.1954
1,41.1219,55.7963,0.2748,29.9566,1.0095,1.3798,39.5994
1,40.6881,56.9223,0.2777,29.9201,0.9981,1.3907,37.0217
1,40.0659,56.4206,0.2805,29.8991,0.9839,1.3985,42.7967
1,40.6433,56.0235,0.2773,30.2325,0.9966,1.3909,35.4632
1,39.7834,56.5724,0.2820,29.6420,1.0260,1.3900,49.1376
1,40.4562,56.0913,0.2783,30.1415,1.0271,1.3807,49.2505
1,40.1925,56.3279,0.2798,30.2382,1.0261,1.3843,49.7694
1,39.7865,56.1678,0.2817,29.6521,0.9872,1.3995,45.8941
1,41.0954,56.8775,0.2756,30.2181,0.9877,1.3875,37.7550
1,39.9406,55.9644,0.2809,29.3025,0.9764,1.3973,51.6727
1,40.9470,56.8949,0.2763,29.3179,0.9828,1.3892,40.8574
1,40.0447,56.8381,0.2808,29.3075,1.0073,1.3951,40.3406
1,40.4382,55.7363,0.2782,29.6072,1.0221,1.3841,43.1578
1,40.4425,56.9102,0.2789,29.3250,1.0187,1.3868,42.4174
1,40.1240,56.1970,0.2801,30.2589,0.9697,1.3984,48.0754
1,40.0905,56.6206,0.2805,29.9267,0.9969,1.3970,39.3912
1,41.2287,56.7008,0.2748,29.3785,1.0119,1.3787,40.8913
1,40.8481,55.5760,0.2761,30.1285,1.0124,1.3821,40.3022
1,41.0471,56.0347,0.2753,30.1624,0.9779,1.3880,40.2251
1,39.9934,56.4048,0.2808,29.7876,0.9726,1.3989,49.8389
1,40.9008,56.3056,0.2762,29.7446,0.9844,1.3895,38.4164
1,40.7929,56.3102,0.2768,29.7543,1.0123,1.3843,39.0834
1,41.2438,56.3554,0.2745,29.8605,0.9723,1.3855,44.2646
1,40.3853,56.0131,0.2786,30.0235,0.9832,1.3951,40.2493
1,39.8159,55.6991,0.2813,29.6742,0.9908,1.3980,45.1693
1,41.1949,55.7830,0.2744,29.4159,1.0115,1.3785,39.4597
1,40.4481,55.7436,0.2782,29.8479,0.9723,1.3934,47.3184
1,40.4779,57.0613,0.2788,29.7792,0.9822,1.3953,41.4191
1,40.4276,56.3069,0.2786,29.6520,1.0166,1.3873,40.7020
1,41.2049,56.1697,0.2746,29.7235,1.0238,1.3727,47.7434
1,40.3340,55.9338,0.2789,30.2251,0.9962,1.3941,37.0121
1,40.6497,56.0762,0.2773,29.5680,0.9749,1.3916,45.1182
1,39.7501,56.3011,0.2820,29.9175,0.9723,1.4008,52.4465
1,40.9409,56.0992,0.2759,29.7257,0.9783,1.3887,41.5867
1,40.0772,56.9172,0.2807,29.8550,0.9881,1.3985,42.0591
1,41.0802,56.6471,0.2755,29.6696,0.9943,1.3863,36.5613
1,41.2963,56.5048,0.2743,29.2993,1.0166,1.3757,42.8116
1,41.2554,56.3091,0.2744,29.8585,0.9887,1.3844,37.6760
1,40.4611,56.9536,0.2788,30.2511,1.0241,1.3819,50.8270
1,39.9259,56.6035,0.2813,29.4516,0.9979,1.3978,41.5416
1,41.2471,55.7518,0.2742,29.4139,1.0193,1.3744,43.3744
1,39.9134,56.3489,0.2812,29.4723,1.0283,1.3878,48.5860
1,40.9140,56.4602,0.2762,29.7544,1.0132,1.3823,40.2830
1,40.0346,56.8228,0.2809,30.0639,1.0111,1.3934,42.5719
1,40.2207,56.2953,0.2796,29.6870,1.0155,1.3900,40.9264
1,40.5014,55.6208,0.2778,29.4585,1.0027,1.3900,37.1990
1,40.5661,56.3712,0.2779,29.5328,0.9697,1.3928,48.4824
1,40.6791,56.6158,0.2775,30.2280,1.0046,1.3883,38.0996
1,41.2091,55.7229,0.2743,30.0024,0.9866,1.3842,38.5578
1,40.2429,56.8327,0.2798,30.0963,0.9732,1.3981,45.7795
1,40.2298,57.1387,0.2801,29.6823,1.0022,1.3946,39.8467
1,39.6758,55.5986,0.2820,30.2033,0.9915,1.3993,45.6261
1,40.3492,55.5291,0.2786,29.5352,0.9818,1.3932,45.0466
1,39.9351,55.7162,0.2808,29.3398,1.0076,1.3943,41.4278
1,40.0661,55.8961,0.2802,29.8514,0.9972,1.3960,39.7110
1,39.7702,55.9310,0.2817,30.2499,0.9891,1.3998,44.0195
1,41.1866,56.1468,0.2747,30.0487,1.0200,1.3742,46.7138
1,40.8853,56.8023,0.2766,30.1338,0.9998,1.3874,37.3820
1,39.9866,56.9475,0.2812,29.7442,1.0057,1.3959,41.3091
1,40.2202,56.6028,0.2798,29.4790,0.9850,1.3967,42.3515
1,41.3036,56.9462,0.2746,29.2823,0.9715,1.3844,47.4805
1,41.1698,56.6187,0.2750,29.9108,1.0088,1.3801,40.7123
1,40.7417,55.5436,0.2766,30.0749,1.0019,1.3873,36.6321
1,40.7313,55.6756,0.2767,29.5886,1.0206,1.3810,42.3188
1,40.2257,55.6122,0.2792,29.8069,1.0058,1.3921,38.7996
1,40.5466,55.8374,0.2777,29.7409,0.9828,1.3926,41.0641
1,40.8887,56.8735,0.2766,30.2543,0.9767,1.3914,40.6657
1,39.9854,55.8945,0.2806,29.3441,1.0234,1.3890,44.7181
1,40.4286,56.4467,0.2787,29.4788,0.9916,1.3942,38.1711
1,40.6483,55.9659,0.2773,30.1345,1.0251,1.3792,47.7455
1,41.2180,55.5578,0.2742,29.2809,0.9983,1.3814,38.2522
1,39.8326,55.7411,0.2813,30.0318,1.0284,1.3869,51.1080
1,40.3753,56.3909,0.2789,29.4781,0.9789,1.3950,44.2256
1,40.3131,56.9356,0.2796,29.7341,1.0065,1.3925,39.2220
1,40.9062,55.5261,0.2758,29.9353,0.9791,1.3880,42.1525
1,40.2150,56.5859,0.2798,29.7348,0.9790,1.3973,44.2481
1,40.3310,56.4241,0.2792,29.4217,0.9792,1.3954,44.6680
1,40.2221,56.4378,0.2797,29.3546,0.9857,1.3962,42.4763
1,40.4340,56.4715,0.2787,30.1339,0.9967,1.3937,36.5227
1,40.0358,56.1344,0.2805,29.3803,0.9788,1.3972,48.2951
1,40.9076,55.9831,0.2760,30.0939,0.9886,1.3889,36.4967
1,40.7982,55.6221,0.2764,30.1805,0.9807,1.3900,40.1845
1,40.4222,55.8851,0.2784,29.8444,0.9743,1.3941,45.7778
1,41.1992,55.7496,0.2744,29.8275,0.9892,1.3840,38.1379
1,40.1188,56.4242,0.2802,29.4312,0.9760,1.3972,48.3933
1,40.0602,55.7328,0.2801,29.3179,0.9918,1.3956,43.1094
1,40.0038,55.8950,0.2805,29.8972,0.9880,1.3977,42.5159
1,39.8870,56.1523,0.2812,30.1904,1.0273,1.3871,51.0140
1,41.0461,55.4641,0.2750,30.1274,0.9898,1.3855,37.8691
1,40.0475,55.8010,0.2802,30.0057,1.0174,1.3899,43.5289
1,40.7028,56.0021,0.2770,30.2496,0.9900,1.3914,35.9864
1,40.1920,56.0821,0.2797,29.4247,1.0227,1.3874,43.5052
1,41.2016,55.6857,0.2744,29.5075,1.0281,1.3707,48.9949
1,40.9055,55.9965,0.2760,30.1700,0.9815,1.3896,38.6578
1,40.6003,56.2308,0.2777,29.3410,1.0000,1.3908,35.8234
1,41.2575,56.4141,0.2745,30.0765,0.9856,1.3850,38.0745
1,40.7746,56.6435,0.2771,30.0380,0.9767,1.3923,41.1394
1,40.0567,56.1392,0.2804,29.6411,0.9979,1.3963,39.6960
1,39.8396,55.7284,0.2812,29.7577,0.9920,1.3979,44.1354
1,40.1587,56.9930,0.2804,29.6775,1.0075,1.3938,40.4254
1,40.5448,56.4405,0.2781,30.1999,1.0233,1.3815,47.7477
1,40.9631,56.3867,0.2759,29.9844,1.0197,1.3780,45.3070
1,39.7511,56.3439,0.2820,29.6593,1.0118,1.3957,43.2864
1,40.8702,56.7624,0.2766,29.8995,0.9802,1.3909,39.9916
1,40.5889,56.0838,0.2777,29.5779,1.0062,1.3891,36.2441
1,39.8689,55.5490,0.2810,29.3960,1.0280,1.3875,48.3268
1,40.2523,55.6082,0.2791,29.3155,0.9937,1.3935,41.0883
1,40.5844,56.3206,0.2778,30.0599,0.9866,1.3935,37.3994
1,40.9844,56.5980,0.2760,29.8285,1.0149,1.3804,42.3508
1,39.9400,56.8423,0.2814,29.9305,1.0184,1.3915,45.9600
1,40.8408,56.0857,0.2764,29.4518,0.9951,1.3885,36.1082
1,41.1919,56.7612,0.2750,29.9308,1.0274,1.3704,53.9713
1,41.1246,56.4169,0.2752,29.5972,1.0162,1.3781,42.2929
1,39.8778,56.0670,0.2812,29.7936,1.0240,1.3894,47.2368
1,40.8970,56.7336,0.2765,30.2343,1.0180,1.3792,46.5818
1,40.2913,55.6437,0.2789,29.7836,0.9794,1.3946,45.0272
1,40.9020,56.2854,0.2762,30.0529,1.0196,1.3788,44.9887
1,41.3097,56.9116,0.2745,29.6645,0.9995,1.3816,39.1391
1,40.4731,55.9984,0.2782,30.1823,1.0019,1.3913,36.5056
1,41.2434,55.6964,0.2741,29.8581,1.0123,1.3767,41.4988
1,39.8880,56.1542,0.2812,30.1278,0.9728,1.4000,49.5281
1,40.3501,56.4762,0.2791,29.4358,0.9865,1.3953,40.7454
1,39.9664,55.7086,0.2806,29.4389,0.9922,1.3965,43.6167
1,40.1232,56.0019,0.2800,29.6132,0.9902,1.3964,41.2017
1,39.7584,55.7874,0.2817,29.9357,0.9731,1.3996,52.8675
1,40.6443,56.6845,0.2777,30.1163,0.9986,1.3909,36.4785
1,40.0400,56.6725,0.2808,29.4754,1.0072,1.3950,40.0235
1,40.7052,55.9724,0.2770,29.5097,1.0112,1.3859,37.4756
1,40.8055,55.8104,0.2764,30.0049,1.0272,1.3761,48.8616
1,40.5220,56.1376,0.2780,29.9188,1.0106,1.3881,38.4609
1,41.2159,56.8537,0.2750,29.9483,0.9748,1.3867,42.7270
1,40.2493,56.0089,0.2793,29.7505,0.9873,1.3958,40.5689
1,40.2155,55.7958,0.2794,30.0042,0.9729,1.3961,47.6626
1,40.6230,56.0714,0.2775,29.7857,0.9893,1.3921,37.3529
1,40.4997,56.6841,0.2785,30.2422,1.0190,1.3842,45.9160
1,40.2140,56.3274,0.2797,30.0518,1.0117,1.3911,40.5010
1,40.0981,56.8712,0.2806,29.5142,1.0103,1.3936,40.7160
1,40.9864,56.8557,0.2761,29.7468,0.9975,1.3870,36.8575
1,40.5384,56.6301,0.2782,29.3329,0.9705,1.3931,48.9955
1,41.0510,56.2606,0.2754,29.3989,1.0094,1.3822,37.6822
1,40.3319,56.6015,0.2793,29.4763,0.9960,1.3947,37.9520
1,40.0520,57.1542,0.2810,29.2782,1.0100,1.3943,41.7262
1,40.3141,56.9849,0.2796,30.0270,1.0016,1.3938,39.0090
1,40.2538,55.6391,0.2791,30.1333,0.9903,1.3950,39.4428
1,40.3971,56.9145,0.2791,29.4295,1.0090,1.3910,38.8547
1,40.5953,57.0430,0.2782,30.2681,0.9790,1.3948,40.8106
